Hour,Load_Original,Load_New,Power,SOC,Price,Electricity_Profit
0,729.0406054469349,2229.040605446935,1500.0,0.575,0.13,-195.0
1,1066.105678916191,2250.3162052319803,1184.2105263157896,0.95,0.13,-153.94736842105266
2,1167.6486387026152,1167.6486387026152,0.0,0.95,0.13,-0.0
3,1173.2298607599316,1173.2298607599316,0.0,0.95,0.13,-0.0
4,1104.3818804570203,1104.3818804570203,0.0,0.95,0.13,-0.0
5,1669.572292892537,1669.572292892537,0.0,0.95,0.13,-0.0
6,1808.8090380889187,1808.8090380889187,0.0,0.95,0.13,-0.0
7,1182.587150418648,1182.587150418648,0.0,0.95,0.13,-0.0
8,1523.5485164194256,1523.5485164194256,0.0,0.95,0.6,-0.0
9,1050.747271622551,1050.747271622551,0.0,0.95,0.85,-0.0
10,1375.3375584135206,-124.66244158647942,-1500.0,0.4236842105263158,0.85,1275.0
11,1159.3324107683115,1159.3324107683115,0.0,0.4236842105263158,0.85,-0.0
12,1371.2896947613012,1371.2896947613012,0.0,0.4236842105263158,0.6,-0.0
13,976.9652282597517,976.9652282597517,0.0,0.4236842105263158,0.6,-0.0
14,590.1292846921478,590.1292846921478,0.0,0.4236842105263158,0.6,-0.0
15,448.3276176454104,448.3276176454104,0.0,0.4236842105263158,0.6,-0.0
16,507.9399204474021,507.9399204474021,0.0,0.4236842105263158,0.6,-0.0
17,478.59193327729076,478.59193327729076,0.0,0.4236842105263158,0.6,-0.0
18,609.2096182335514,-313.2903817664485,-922.4999999999999,0.1,0.85,784.1249999999999
19,326.1391450353407,326.1391450353407,-0.0,0.1,0.85,0.0
20,469.0801976196057,469.0801976196057,-0.0,0.1,0.85,0.0
21,819.4632245572965,819.4632245572965,0.0,0.1,0.6,-0.0
22,837.3012734787798,837.3012734787798,0.0,0.1,0.6,-0.0
23,815.2158228714387,815.2158228714387,0.0,0.1,0.6,-0.0
24,1189.4922314101439,2689.492231410144,1500.0,0.575,0.13,-195.0
25,1274.270327440332,2458.4808537561216,1184.2105263157896,0.95,0.13,-153.94736842105266
26,981.2968886604702,981.2968886604702,0.0,0.95,0.13,-0.0
27,1620.4383967028948,1620.4383967028948,0.0,0.95,0.13,-0.0
28,1462.172609785428,1462.172609785428,0.0,0.95,0.13,-0.0
29,1887.3121573822723,1887.3121573822723,0.0,0.95,0.13,-0.0
30,1459.9883351248288,1459.9883351248288,0.0,0.95,0.13,-0.0
31,1537.003603106726,1537.003603106726,0.0,0.95,0.13,-0.0
32,1767.3703720671626,1767.3703720671626,0.0,0.95,0.6,-0.0
33,1672.1222280513275,1672.1222280513275,0.0,0.95,0.85,-0.0
34,1350.379863144862,-149.62013685513807,-1500.0,0.4236842105263158,0.85,1275.0
35,1410.7632704399414,1410.7632704399414,0.0,0.4236842105263158,0.85,-0.0
36,1037.0813834813296,1037.0813834813296,0.0,0.4236842105263158,0.6,-0.0
37,999.1042418158553,999.1042418158553,0.0,0.4236842105263158,0.6,-0.0
38,928.9539893497858,928.9539893497858,0.0,0.4236842105263158,0.6,-0.0
39,827.6679341397571,827.6679341397571,0.0,0.4236842105263158,0.6,-0.0
40,857.920491117452,857.920491117452,0.0,0.4236842105263158,0.6,-0.0
41,304.3163231315625,304.3163231315625,0.0,0.4236842105263158,0.6,-0.0
42,1015.6497537580524,93.1497537580525,-922.4999999999999,0.1,0.85,784.1249999999999
43,577.9673157836579,577.9673157836579,-0.0,0.1,0.85,0.0
44,727.2695953829958,727.2695953829958,-0.0,0.1,0.85,0.0
45,474.4714287998813,474.4714287998813,0.0,0.1,0.6,-0.0
46,1090.9400106412609,1090.9400106412609,0.0,0.1,0.6,-0.0
47,1049.035888945807,1049.035888945807,0.0,0.1,0.6,-0.0
48,829.6880489288376,2329.688048928838,1500.0,0.575,0.13,-195.0
49,1626.4777342671057,2810.688260582895,1184.2105263157896,0.95,0.13,-153.94736842105266
50,1136.5184624279555,1136.5184624279555,0.0,0.95,0.13,-0.0
51,1446.953079452928,1446.953079452928,0.0,0.95,0.13,-0.0
52,1440.5419672503913,1440.5419672503913,0.0,0.95,0.13,-0.0
53,1671.6611773283353,1671.6611773283353,0.0,0.95,0.13,-0.0
54,1780.7159439121008,1780.7159439121008,0.0,0.95,0.13,-0.0
55,1491.1664293267957,1491.1664293267957,0.0,0.95,0.13,-0.0
56,1795.7905576265157,1795.7905576265157,0.0,0.95,0.6,-0.0
57,1194.4226821416105,1194.4226821416105,0.0,0.95,0.85,-0.0
58,1700.5277758229188,200.52777582291878,-1500.0,0.4236842105263158,0.85,1275.0
59,1264.5978742007312,1264.5978742007312,0.0,0.4236842105263158,0.85,-0.0
